,names,Cuizine,Price,Ratings
0,The Salt Cafe Kitchen & Bar,"North Indian, Continental, Chinese, Italian, Finger Food","₹1,500 for two",4.9star-fill
1,Molecule Air Bar,"North Indian, Chinese, Continental, Italian","₹1,000 for two",4.6star-fill
2,The Wok Bar,"Asian, Japanese, Sushi, Thai, Korean, Desserts","₹1,700 for two",4.4star-fill
3,Pinch Of Spice,"North Indian, Chinese, Continental, Desserts, Beverages, Mughlai","₹1,600 for two",4.9star-fill
4,Unplugged Courtyard,"Mediterranean, North Indian, Continental, Chinese, Mexican, Thai, Italian, Coffee","₹1,000 for two",4.4star-fill
5,Folks Pub,"North Indian, Chinese","₹1,400 for two",4.8star-fill
6,Kiskey Whiskey,"North Indian, Continental, Chinese, European, Pasta, Oriental",₹800 for two,4.3star-fill
7,Urban Deck,"Mexican, Italian, North Indian","₹1,600 for two",3.9star-fill
8,Berco's - If You Love Chinese,"Chinese, Thai, Asian, Sichuan",₹900 for two,4.4star-fill
9,Made In Punjab,"North Indian, Mughlai, Biryani, Rolls, Chinese, Desserts, Beverages","₹1,300 for two",4.5star-fill
10,Bellevue - The Oberoi Amarvilas,"North Indian, Chinese, Continental, Fast Food, Desserts","₹4,500 for two",4.2star-fill
11,MoMo Cafe - Courtyard By Marriott,"North Indian, Fast Food, Continental, Beverages, Asian","₹2,000 for two",4.5star-fill
12,Hichkee,"Continental, North Indian, Chinese","₹1,500 for two",4.1star-fill
13,Downtown Cafe,"North Indian, Mughlai, Fast Food, Chinese, Street Food, Biryani, Desserts","₹1,600 for two",4.9star-fill
14,"Infini – The Sky Lounge - Taj Hotel & Convention Centre, Tajganj","North Indian, Fast Food, Finger Food","₹3,500 for two",3.9star-fill
15,Fakira,"North Indian, Chinese, Continental, Fast Food, Beverages","₹1,000 for two",4.2star-fill
16,North 27,"North Indian, Chinese, Continental, Oriental, Fast Food, Mughlai, Beverages, Desserts","₹3,800 for two",3.9star-fill
17,Maikhana – ITC Mughal,Finger Food,"₹2,000 for two",3.9star-fill
18,The Chapter Kitchen,"Italian, Mexican, North Indian, Continental, Desserts, Beverages","₹1,000 for two",4.2star-fill
19,Desi Cafe Agra,"North Indian, Oriental, Asian, Mediterranean, Italian, Biryani, Fast Food","₹2,000 for two",4.3star-fill
20,Wonder Terrace Bar & Kitchen,"North Indian, Continental, Finger Food, Beverages, BBQ","₹3,500 for two",4.0star-fill
21,Henry's The English Pub - Radisson Hotel Agra,"Continental, Fast Food, Desserts","₹3,200 for two",3.9star-fill
22,Tapas - Jaypee Palace Hotel,"North Indian, Finger Food, Bar Food","₹2,000 for two",3.9star-fill
23,Hotel Amar - Noorjahan Restaurant,"Bar Food, Chinese, Continental, South Indian, Fast Food, North Indian, Desserts, Beverages",₹900 for two,3.9star-fill
24,Mughal Pavilion - ITC Mughal,"North Indian, Chinese, Continental","₹2,500 for two",4.0star-fill
25,Parinda Sky Disc And Lounge,"North Indian, Mughlai, Chinese, Fast Food",₹700 for two,3.9star-fill
26,"Liquid Lounge Bar - Taj Hotel & Convention Centre, Tajganj",Finger Food,"₹2,500 for two",4.2star-fill
27,Peshawri - ITC Mughal,"North Indian, Mughlai","₹6,000 for two",4.5star-fill
28,Sheesh Mahal - Mansingh Palace,"North Indian, Chinese, Continental","₹1,800 for two",3.7star-fill
29,Plush Bar,"Fast Food, Street Food, Wraps, Kebab, Pizza","₹1,200 for two",3.9star-fill
30,Lobby Bar - Holiday Inn,Bar Food,"₹2,400 for two",3.9star-fill
31,Rendezvous - Hotel Howard Plaza,"North Indian, Chinese, Continental, Mughlai, Desserts, Beverages","₹2,000 for two",3.8star-fill
32,The Bar - Trident Hotel,Finger Food,"₹2,000 for two",3.9star-fill
33,Distil - The Lounge Bar,"Chinese, North Indian, Beverages",₹900 for two,3.9star-fill
34,Hotel Anjuman,"North Indian, Chinese, Street Food, Fast Food, Seafood, Biryani, Mughlai, Beverages",₹600 for two,3.8star-fill
35,Silver Spoon,"North Indian, Chinese, Continental, Pizza",₹950 for two,4.4star-fill
36,Diamond Restaurant And Bar,"North Indian, Mughlai, Rolls, Finger Food",₹800 for two,3.9star-fill
37,Taj Bano - ITC Mughal,"Mughlai, North Indian","₹2,500 for two",4.1star-fill
38,Hotel Kant Restaurant,"North Indian, Chinese, Continental, Sandwich, Beverages","₹1,000 for two",3.9star-fill
39,Sky Grill - Crystal Sarovar Premiere,"North Indian, Continental, Beverages","₹1,000 for two",4.4star-fill
40,Mughal Bar - Hotel Clarks Shiraz,Finger Food,"₹1,800 for two",-star-fill
41,Ashoka Bar,North Indian,"₹1,000 for two",4.4star-fill
42,Drink Inn,"Fast Food, Bar Food","₹1,800 for two",Newstar-fill
43,Thor The Party World,"North Indian, Mughlai, Fast Food, Beverages",₹600 for two,-star-fill
44,"Daawat-E-Nawab - Taj Hotel & Convention Centre, Tajganj","North Indian, Mughlai, Kebab, Biryani","₹3,600 for two",4.2star-fill
45,Metro Bar,Finger Food,"₹1,500 for two",3.9star-fill
46,Lights Out - Lounge & Roofpark,"Bar Food, Finger Food, North Indian, Chinese, Continental, BBQ, Italian","₹1,400 for two",4.1star-fill
47,Tmahroosh Bar - Ramada Plaza,"Finger Food, Mughlai","₹1,500 for two",-star-fill
48,Shahenshah,"Asian, South Indian, Continental, Chinese, North Indian","₹2,000 for two",-star-fill
49,Esphahan - The Oberoi Amarvilas,"North Indian, Biryani, Desserts, Kebab","₹4,000 for two",4.9star-fill
50,Ripples - Mansingh Palace,"North Indian, Continental, Beverages","₹1,500 for two",-star-fill
51,Madira Bar,"Finger Food, Continental, Fast Food",₹800 for two,-star-fill
52,Moon Bar & Restaurant,"Bar Food, North Indian, Street Food, Fast Food, Chinese",₹600 for two,-star-fill
53,The Darkknight Cafe,"North Indian, Bar Food","₹1,000 for two",Newstar-fill
54,Paatra - Jaypee Palace Hotel,"North Indian, Mughlai","₹3,000 for two",4.3star-fill
55,Hell Inn Lounge,North Indian,"₹1,500 for two",-star-fill
56,Pub Zee Lounge,"Chinese, North Indian, Fast Food, Oriental","₹1,200 for two",-star-fill
57,Chandni Bar & Restaurant,North Indian,"₹1,000 for two",Newstar-fill
58,Dream Bar And Restaurant,North Indian,"₹1,000 for two",Newstar-fill
59,Rendezvous,"North Indian, Chinese, Continental, Salad, Oriental, Desserts, Beverages","₹1,600 for two",Newstar-fill
60,Khyati Bar & Restaurant,North Indian,"₹1,000 for two",Newstar-fill
61,Hotel Star Of Taj Restobar,North Indian,"₹1,000 for two",Newstar-fill
62,New Agra Bar & Restaurant,"North Indian, Bar Food","₹1,000 for two",Newstar-fill
63,Anise,North Indian,"₹2,000 for two",4.3star-fill
64,Turko Mughal - Ramada Plaza,"North Indian, Mughlai, Beverages","₹2,500 for two",4.2star-fill
65,Hangout- The Lounge Bar,"Finger Food, South Indian, North Indian, Oriental, Fast Food",₹800 for two,3.9star-fill
66,Troyt,"North Indian, Continental, Pizza, Italian, Chinese","₹1,500 for two",-star-fill
